ZVUE Media Manager,application/vnd.handheld-entertainment+xml,.zmm
Z.U.L. Geometry,application/vnd.zul,.zir
Zip Archive,application/zip,.zip
Zzazz Deck,application/vnd.zzazz.deck+xml,.zaz
YIN (YANG - XML),application/yin+xml,.yin
YANG Data Modeling Language,application/yang,.yang
YAML Ain't Markup Language / Yet Another Markup Language,text/yaml,.yaml
XYZ File Format,chemical/x-xyz,.xyz
X Window Dump,image/x-xwindowdump,.xwd
XUL - XML User Interface Language,application/vnd.mozilla.xul+xml,.xul
XSPF - XML Shareable Playlist Format,application/xspf+xml,.xspf
SyncML,application/vnd.syncml+xml,.xsm
XML Transformations,application/xslt+xml,.xslt
Intercon FormNet,application/vnd.intercon.formnet,.xpw
Microsoft XML Paper Specification,application/vnd.ms-xpsdocument,.xps
Express by Infoseek,application/vnd.is-xpr,.xpr
X PixMap,image/x-xpixmap,.xpm
XPInstall - Mozilla,application/x-xpinstall,.xpi
XML-Binary Optimized Packaging,application/xop+xml,.xop
Sugar Linux Application Bundle,application/vnd.olpc-sugar,.xo
XML - Extensible Markup Language,application/xml,.xml
Microsoft Office - OOXML - Spreadsheet Template,application/vnd.openxmlformats-officedocument.spreadsheetml.template,.xltx
Microsoft Excel - Macro-Enabled Template File,application/vnd.ms-excel.template.macroenabled.12,.xltm
Microsoft Office - OOXML - Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,.xlsx
Microsoft Excel - Macro-Enabled Workbook,application/vnd.ms-excel.sheet.macroenabled.12,.xlsm
Microsoft Excel - Binary Workbook,application/vnd.ms-excel.sheet.binary.macroenabled.12,.xlsb
Microsoft Excel,application/vnd.ms-excel,.xls
Microsoft Excel - Add-In File,application/vnd.ms-excel.addin.macroenabled.12,.xlam
eXtended Image File Format (XIFF),image/vnd.xiff,.xif
XHTML - The Extensible HyperText Markup Language,application/xhtml+xml,.xhtml
Extensible Forms Description Language,application/vnd.xfdl,.xfdl
Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf
XML Patch Framework,application/patch-ops-error+xml,.xer
XML Encryption Syntax and Processing,application/xenc+xml,.xenc
Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc
Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp
SyncML - Device Management,application/vnd.syncml.dm+xml,.xdm
XML Configuration Access Protocol - XCAP Diff,application/xcap-diff+xml,.xdf
X BitMap,image/x-xbitmap,.xbm
Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd
Microsoft XAML Browser Application,application/x-ms-xbap,.xbap
CorelXARA,application/vnd.xara,.xar
Microsoft Silverlight,application/x-silverlight-app,.xap
3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d
Microsoft Windows Media Video Playlist,video/x-ms-wvx,.wvx
WebTurbo,application/vnd.webturbo,.wtb
Web Services Policy,application/wspolicy+xml,.wspolicy
WSDL - Web Services Description Language,application/wsdl+xml,.wsdl
Virtual Reality Modeling Language,model/vrml,.wrl
Microsoft Wordpad,application/x-mswrite,.wri
SundaHus WQ,application/vnd.wqd,.wqd
Microsoft Works,application/vnd.ms-works,.wps
Microsoft Windows Media Player Playlist,application/vnd.ms-wpl,.wpl
Wordperfect,application/vnd.wordperfect,.wpd
Web Open Font Format,application/x-font-woff,.woff
Microsoft Windows Media Player Skin Package,application/x-ms-wmz,.wmz
Microsoft Windows Media Audio/Video Playlist,video/x-ms-wmx,.wmx
Microsoft Windows Media Video,video/x-ms-wmv,.wmv
WMLScript,application/vnd.wap.wmlscriptc,.wmlsc
Wireless Markup Language Script (WMLScript),text/vnd.wap.wmlscript,.wmls
Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc
Wireless Markup Language (WML),text/vnd.wap.wml,.wml
Microsoft Windows Metafile,application/x-msmetafile,.wmf
Microsoft Windows Media Player Download Package,application/x-ms-wmd,.wmd
Microsoft Windows Media Audio,audio/x-ms-wma,.wma
Microsoft Windows Media,video/x-ms-wm,.wm
Widget Packaging and XML Configuration,application/widget,.wgt
Qualcomm's Plaza Mobile Internet,application/vnd.pmi.widget,.wg
WebP Image,image/webp,.webp
Open Web Media Project - Video,video/webm,.webm
Open Web Media Project - Audio,audio/webm,.weba
WAP Binary XML (WBXML),application/vnd.wap.wbxml,.wbxml
Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs
WAP Bitamp (WBMP),image/vnd.wap.wbmp,.wbmp
Microsoft Windows Media Audio Redirector,audio/x-ms-wax,.wax
Waveform Audio File Format (WAV),audio/x-wav,.wav
Doom Video Game,application/x-doom,.wad
VoiceXML,application/voicexml+xml,.vxml
Virtue VTU,model/vnd.vtu,.vtu
Viewport+,application/vnd.vsf,.vsf
Microsoft Visio 2013,application/vnd.visio2013,.vsdx
Microsoft Visio,application/vnd.visio,.vsd
Vivo,video/vnd.vivo,.viv
Visionary,application/vnd.visionary,.vis
VirtualCatalog,application/vnd.vcx,.vcx
vCalendar,text/x-vcalendar,.vcs
Groove - Vcard,application/vnd.groove-vcard,.vcg
vCard,text/x-vcard,.vcf
Video CD,application/x-cdlink,.vcd
DECE Video,video/vnd.dece.video,.uvv
DECE MP4,video/vnd.uvvu.mp4,.uvu
DECE SD Video,video/vnd.dece.sd,.uvs
DECE PD Video,video/vnd.dece.pd,.uvp
DECE Mobile Video,video/vnd.dece.mobile,.uvm
DECE Graphic,image/vnd.dece.graphic,.uvi
DECE High Definition Video,video/vnd.dece.hd,.uvh
DECE Audio,audio/vnd.dece.audio,.uva
UUEncode,text/x-uuencode,.uu
User Interface Quartz - Theme (Symbian),application/vnd.uiq.theme,.utz
Ustar (Uniform Standard Tape Archive),application/x-ustar,.ustar
URI Resolution Services,text/uri-list,.uri
Unique Object Markup Language,application/vnd.uoml+xml,.uoml
Unity 3d,application/vnd.unity,.unityweb
UMAJIN,application/vnd.umajin,.umj
Universal Forms Description Language,application/vnd.ufdl,.ufd
Text File,text/plain,.txt
Mobius Management Systems - Topic Index File,application/vnd.mobius.txf,.txf
Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd
SimTech MindMapper,application/vnd.simtech-mindmapper,.twd
Turtle (Terse RDF Triple Language),text/turtle,.ttl
TrueType Font,application/x-font-ttf,.ttf
Tab Seperated Values,text/tab-separated-values,.tsv
Time Stamped Data Envelope,application/timestamped-data,.tsd
Microsoft Windows Terminal Services,application/x-msterminal,.trm
True BASIC,application/vnd.trueapp,.tra
TRI Systems Config,application/vnd.trid.tpt,.tpt
Groove - Tool Template,application/vnd.groove-tool-template,.tpl
BitTorrent,application/x-bittorrent,.torrent
MobileTV,application/vnd.tmobile-livetv,.tmo
Tagged Image File Format,image/tiff,.tif
Tagged Image File Format,image/tiff,.tiff
Microsoft Office System Release Theme,application/vnd.ms-officetheme,.thmx
TeX Font Metric,application/x-tex-tfm,.tfm
Sharing Transaction Fraud Data,application/thraud+xml,.tfi
GNU Texinfo Document,application/x-texinfo,.texinfo
TeX,application/x-tex,.tex
Text Encoding and Interchange,application/tei+xml,.tei
SMART Technologies Apps,application/vnd.smart.teacher,.teacher
Tcl Script,application/x-tcl,.tcl
3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap
Tar File (Tape Archive),application/x-tar,.tar
Tao Intent,application/vnd.tao.intent-module-archive,.tao
troff,text/troff,.t
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer,.sxw
OpenOffice - Math (Formula),application/vnd.sun.xml.math,.sxm
OpenOffice - Impress (Presentation),application/vnd.sun.xml.impress,.sxi
OpenOffice - Writer (Text - HTML),application/vnd.sun.xml.writer.global,.sxg
OpenOffice - Draw (Graphics),application/vnd.sun.xml.draw,.sxd
OpenOffice - Calc (Spreadsheet),application/vnd.sun.xml.calc,.sxc
Arista Networks Software Image,application/vnd.aristanetworks.swi,.swi
Adobe Flash,application/x-shockwave-flash,.swf
Scalable Vector Graphics (SVG),image/svg+xml,.svg
SourceView Document,application/vnd.svd,.svd
Digital Video Broadcasting,application/vnd.dvb.service,.svc
System V Release 4 CPIO Checksum Data,application/x-sv4crc,.sv4crc
System V Release 4 CPIO Archive,application/x-sv4cpio,.sv4cpio
ScheduleUs,application/vnd.sus-calendar,.sus
Close Captioning - Subtitle,image/vnd.dvb.subtitle,.sub
OpenOffice - Writer Template (Text - HTML),application/vnd.sun.xml.writer.template,.stw
Proprietary P&G Standard Reporting System,application/vnd.pg.format,.str
Microsoft Trust UI Provider - Certificate Trust Link,application/vnd.ms-pki.stl,.stl
Hyperstudio,application/hyperstudio,.stk
OpenOffice - Impress Template (Presentation),application/vnd.sun.xml.impress.template,.sti
Worldtalk,application/vnd.wt.stf,.stf
OpenOffice - Draw Template (Graphics),application/vnd.sun.xml.draw.template,.std
OpenOffice - Calc Template (Spreadsheet),application/vnd.sun.xml.calc.template,.stc
SailingTracker,application/vnd.sailingtracker.track,.st
Speech Synthesis Markup Language,application/ssml+xml,.ssml
QUASS Stream Player,application/vnd.epson.ssf,.ssf
Kodak Storyshare,application/vnd.kodak-descriptor,.sse
SPARQL - Results,application/sparql-results+xml,.srx
Search/Retrieve via URL Response Format,application/sru+xml,.sru
WAIS Source,application/x-wais-source,.src
Server-Based Certificate Validation Protocol - Validation Policies - Request,application/scvp-vp-request,.spq
Server-Based Certificate Validation Protocol - Validation Policies - Response,application/scvp-vp-response,.spp
In3D - 3DML,text/vnd.in3d.spot,.spot
FutureSplash Animator,application/x-futuresplash,.spl
SMAF Phrase,application/vnd.yamaha.smaf-phrase,.spf
Server Normal Format,application/x-font-snf,.snf
Synchronized Multimedia Integration Language,application/smil+xml,.smi
StarOffice - Math,application/vnd.stardivision.math,.smf
StepMania,application/vnd.stepmania.stepchart,.sm
SimpleAnimeLite Player,application/vnd.epson.salt,.slt
Microsoft Office - OOXML - Presentation (Slide),application/vnd.openxmlformats-officedocument.presentationml.slide,.sldx
Microsoft PowerPoint - Macro-Enabled Open XML Slide,application/vnd.ms-powerpoint.slide.macroenabled.12,.sldm
SSEYO Koan Play File,application/vnd.koan,.skp
Stuffit Archive,application/x-stuffitx,.sitx
Stuffit Archive,application/x-stuffit,.sit
Symbian Install Package,application/vnd.symbian.install,.sis
S Hexdump Format,application/shf+xml,.shf
Shell Archive,application/x-shar,.shar
Bourne Shell Script,application/x-sh,.sh
Standard Generalized Markup Language (SGML),text/sgml,.sgml
StarOffice - Writer (Global),application/vnd.stardivision.writer-global,.sgl
TIBCO Spotfire,application/vnd.spotfire.sfs,.sfs
Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx
Secure Electronic Transaction - Registration,application/set-registration-initiation,.setreg
Secure Electronic Transaction - Payment,application/set-payment-initiation,.setpay
Java Serialized Object,application/java-serialized-object,.ser
Secured eMail,application/vnd.semf,.semf
Secured eMail,application/vnd.semd,.semd
Secured eMail,application/vnd.sema,.sema
Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed
SeeMail,application/vnd.seemail,.see
StarOffice - Writer,application/vnd.stardivision.writer,.sdw
Session Description Protocol,application/sdp,.sdp
SudokuMagic,application/vnd.solent.sdkm+xml,.sdkm
StarOffice - Impress,application/vnd.stardivision.impress,.sdd
StarOffice - Calc,application/vnd.stardivision.calc,.sdc
StarOffice - Draw,application/vnd.stardivision.draw,.sda
Curl - Source Code,text/vnd.curl.scurl,.scurl
Server-Based Certificate Validation Protocol - Validation Response,application/scvp-cv-response,.scs
Server-Based Certificate Validation Protocol - Validation Request,application/scvp-cv-request,.scq
Lotus Screencam,application/vnd.lotus-screencam,.scm
Microsoft Schedule+,application/x-msschedule,.scd
IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc
Systems Biology Markup Language,application/sbml+xml,.sbml
SMAF Audio,application/vnd.yamaha.smaf-audio,.saf
Assembler Source File,text/x-asm,.s
Rich Text Format (RTF),text/richtext,.rtx
Rich Text Format,application/rtf,.rtf
RSS - Really Simple Syndication,application/rss+xml,".rss, .xml"
Really Simple Discovery,application/rsd+xml,.rsd
XML Resource Lists,application/rls-services+xml,.rs
SPARQL - Query,application/sparql-query,.rq
Nokia Radio Application - Preset,application/vnd.nokia.radio-preset,.rpst
Nokia Radio Application - Preset,application/vnd.nokia.radio-presets,.rpss
RetroPlatform Player,application/vnd.cloanto.rp9,.rp9
Relax NG Compact Syntax,application/relax-ng-compact-syntax,.rnc
Mobile Information Device Profile,application/vnd.jcp.javame.midlet-rms,.rms
Real Audio Sound,audio/x-pn-realaudio-plugin,.rmp
RealMedia,application/vnd.rn-realmedia,.rm
XML Resource Lists Diff,application/resource-lists-diff+xml,.rld
EDMICS 2000,image/vnd.fujixerox.edmics-rlc,.rlc
XML Resource Lists,application/resource-lists+xml,.rl
Hit'n'Mix,audio/vnd.rip,.rip
IMS Networks,application/reginfo+xml,.rif
Silicon Graphics RGB Bitmap,image/x-rgb,.rgb
Digital Talking Book - Resource File,application/x-dtbresource+xml,.res
BusinessObjects,application/vnd.businessobjects,.rep
RemoteDocs R-Viewer,application/vnd.data-vision.rdz,.rdz
Resource Description Framework,application/rdf+xml,.rdf
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile
CMU Image,image/x-cmu-raster,.ras
RAR Archive,application/x-rar-compressed,.rar
Real Audio Sound,audio/x-pn-realaudio,.ram
QuarkXpress,application/vnd.quark.quarkxpress,.qxd
Quicktime Video,video/quicktime,.qt
PubliShare Objects,application/vnd.publishare-delta-tree,.qps
Quicken,application/vnd.intu.qfx,.qfx
Open Financial Exchange,application/vnd.intu.qbo,.qbo
QuickAnime Player,application/vnd.epson.quickanime,.qam
Microsoft PlayReady Ecosystem Video,video/vnd.ms-playready.media.pyv,.pyv
Microsoft PlayReady Ecosystem,audio/vnd.ms-playready.media.pya,.pya
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb
Microsoft Publisher,application/x-mspublisher,.pub
Princeton Video Image,application/vnd.pvi.ptid1,.ptid
Portable Symmetric Key Container,application/pskc+xml,.pskcxml
PSF Fonts,application/x-font-linux-psf,.psf
Photoshop Document,image/vnd.adobe.photoshop,.psd
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb
PICSRules,application/pics-rules,.prf
Lotus Freelance,application/vnd.lotus-freelance,.pre
Mobipocket,application/x-mobipocket-ebook,.prc
Microsoft Office - OOXML - Presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,.pptx
Microsoft PowerPoint - Macro-Enabled Presentation File,application/vnd.ms-powerpoint.presentation.macroenabled.12,.pptm
Microsoft PowerPoint,application/vnd.ms-powerpoint,.ppt
Microsoft Office - OOXML - Presentation (Slideshow),application/vnd.openxmlformats-officedocument.presentationml.slideshow,.ppsx
Microsoft PowerPoint - Macro-Enabled Slide Show File,application/vnd.ms-powerpoint.slideshow.macroenabled.12,.ppsm
Portable Pixmap Format,image/x-portable-pixmap,.ppm
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd
Microsoft PowerPoint - Add-in file,application/vnd.ms-powerpoint.addin.macroenabled.12,.ppam
Microsoft Office - OOXML - Presentation Template,application/vnd.openxmlformats-officedocument.presentationml.template,.potx
Microsoft PowerPoint - Macro-Enabled Template File,application/vnd.ms-powerpoint.template.macroenabled.12,.potm
MacPorts Port System,application/vnd.macports.portpkg,.portpkg
Portable Anymap Image,image/x-portable-anymap,.pnm
Portable Network Graphics (PNG),image/png,.png
Portable Network Graphics (PNG) (x-token),image/x-png,.png
Portable Network Graphics (PNG) (Citrix client),image/x-citrix-png,.png
PosML,application/vnd.ctc-posml,.pml
Pronunciation Lexicon Specification,application/pls+xml,.pls
PocketLearn Viewers,application/vnd.pocketlearn,.plf
Mobius Management Systems - Policy Definition Language File,application/vnd.mobius.plc,.plc
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki
JPEG Image (Progressive),image/pjpeg,.pjpeg
PICT Image,image/x-pict,.pic
Pretty Good Privacy,application/pgp-encrypted,.pgp
Pretty Good Privacy - Signature,application/pgp-signature,.pgp
Portable Game Notation (Chess Games),application/x-chess-pgn,.pgn
Portable Graymap Format,image/x-portable-graymap,.pgm
Portable Font Resource,application/font-tdpfr,.pfr
PostScript Fonts,application/x-font-type1,.pfa
Adobe Portable Document Format,application/pdf,.pdf
PalmOS Data,application/vnd.palm,.pdb
PCX Image,image/x-pcx,.pcx
CURL Applet,application/vnd.curl.pcurl,.pcurl
PCL 6 Enhanced (Formely PCL XL),application/vnd.hp-pclxl,.pclxl
HP Printer Command Language,application/vnd.hp-pcl,.pcl
Portable Compiled Format,application/x-font-pcf,.pcf
Portable Bitmap Format,image/x-portable-bitmap,.pbm
PowerBuilder,application/vnd.powerbuilder6,.pbd
PawaaFILE,application/vnd.pawaafile,.paw
BAS Partitur Format,text/plain-bas,.par
PKCS #8 - Private-Key Information Syntax Standard,application/pkcs8,.p8
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-signature,.p7s
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),application/x-pkcs7-certreqresp,.p7r
PKCS #7 - Cryptographic Message Syntax Standard,application/pkcs7-mime,.p7m
PKCS #7 - Cryptographic Message Syntax Standard (Certificates),application/x-pkcs7-certificates,.p7b
PKCS #12 - Personal Information Exchange Syntax Standard,application/x-pkcs12,.p12
PKCS #10 - Certification Request Standard,application/pkcs10,.p10
Pascal Source File,text/x-pascal,.p
Open Office Extension,application/vnd.openofficeorg.extension,.oxt
OpenDocument Text Template,application/vnd.oasis.opendocument.text-template,.ott
OpenDocument Spreadsheet Template,application/vnd.oasis.opendocument.spreadsheet-template,.ots
OpenDocument Presentation Template,application/vnd.oasis.opendocument.presentation-template,.otp
OpenDocument Image Template,application/vnd.oasis.opendocument.image-template,.oti
Open Document Text Web,application/vnd.oasis.opendocument.text-web,.oth
OpenDocument Graphics Template,application/vnd.oasis.opendocument.graphics-template,.otg
OpenType Font File,application/x-font-otf,.otf
OpenDocument Chart Template,application/vnd.oasis.opendocument.chart-template,.otc
OSFPVG,application/vnd.yamaha.openscoreformat.osfpvg+xml,.osfpvg
Open Score Format,application/vnd.yamaha.openscoreformat,.osf
Lotus Organizer,application/vnd.lotus-organizer,.org
Open eBook Publication Structure,application/oebps-package+xml,.opf
Microsoft OneNote,application/onenote,.onetoc
Ogg,application/ogg,.ogx
Ogg Video,video/ogg,.ogv
Ogg Audio,audio/ogg,.oga
OpenDocument Text,application/vnd.oasis.opendocument.text,.odt
OpenDocument Spreadsheet,application/vnd.oasis.opendocument.spreadsheet,.ods
OpenDocument Presentation,application/vnd.oasis.opendocument.presentation,.odp
OpenDocument Text Master,application/vnd.oasis.opendocument.text-master,.odm
OpenDocument Image,application/vnd.oasis.opendocument.image,.odi
